time,temperature,volte
2871.5,37.60070801,3.5
2872,37.5793457,3.5
2872.5,37.57019043,3.5
2873,37.56713867,3.5
2873.5,37.56408691,3.5
2874,37.56408691,3.5
2874.5,37.56408691,3.5
2875,37.56408691,3.5
2875.5,37.57019043,3.5
2876,37.57629395,3.5
2876.5,37.57629395,3.5
2877,37.57629395,3.5
2877.5,37.57629395,3.5
2878,37.56713867,3.5
2878.5,37.5793457,3.5
2879,37.5793457,3.5
2879.5,37.62512207,3.5
2880,37.66479492,3.5
2880.5,37.67700195,3.5
2881,37.68005371,3.5
2881.5,37.68005371,3.5
2882,37.76855469,3.5
2882.5,37.77160645,3.5
2883,37.77160645,3.5
2883.5,37.76855469,3.5
2884,37.76855469,3.5
2884.5,37.76855469,3.5
2885,37.77160645,3.5
2885.5,37.6953125,3.5
2886,37.6739502,3.5
2886.5,37.67700195,3.5
2887,37.67700195,3.5
2887.5,37.71362305,3.5
2888,37.7746582,3.5
2888.5,37.78381348,3.5
2889,37.7746582,3.5
2889.5,37.68920898,3.5
2890,37.67089844,3.5
2890.5,37.6739502,3.5
2891,37.67089844,3.5
2891.5,37.69836426,3.5
2892,37.76855469,3.5
2892.5,37.76855469,3.5
2893,37.76855469,3.5
2893.5,37.77160645,3.5
2894,37.77160645,3.5
2894.5,37.7746582,3.5
2895,37.7746582,3.5
2895.5,37.77770996,3.5
2896,37.77770996,3.5
2896.5,37.77160645,3.5
2897,37.77160645,3.5
2897.5,37.77770996,3.5
2898,37.77770996,3.5
2898.5,37.78381348,3.5
2899,37.77770996,3.5
2899.5,37.77770996,3.5
2900,37.7746582,3.5
2900.5,37.78381348,3.5
2901,37.77770996,3.5
2901.5,37.84179688,3.5
2902,37.86621094,3.5
2902.5,37.86315918,3.5
2903,37.86315918,3.5
2903.5,37.86621094,3.5
2904,37.8692627,3.5
2904.5,37.87536621,3.5
2905,37.87841797,3.5
2905.5,37.87841797,3.5
2906,37.86621094,3.5
2906.5,37.8692627,3.5
2907,37.87536621,3.5
2907.5,37.79296875,3.5
2908,37.79296875,3.5
2908.5,37.78381348,3.5
2909,37.78381348,3.5
2909.5,37.78381348,3.5
2910,37.78381348,3.5
2910.5,37.78381348,3.5
2911,37.78381348,3.5
2911.5,37.77770996,3.5
2912,37.86010742,3.5
2912.5,37.86621094,3.5
2913,37.86315918,3.5
2913.5,37.82348633,3.5
2914,37.7746582,3.5
2914.5,37.76855469,3.5
2915,37.76855469,3.5
2915.5,37.77160645,3.5
2916,37.67700195,3.5
2916.5,37.68005371,3.5
2917,37.68005371,3.5
2917.5,37.6739502,3.5
2918,37.67089844,3.5
2918.5,37.6739502,3.5
2919,37.67700195,3.5
2919.5,37.7532959,3.5
2920,37.7746582,3.5
2920.5,37.77770996,3.5
2921,37.77770996,3.5
2921.5,37.78381348,3.5
2922,37.77770996,3.5
2922.5,37.78381348,3.5
2923,37.77160645,3.5
2923.5,37.77160645,3.5
2924,37.76855469,3.5
2924.5,37.7746582,3.5
2925,37.77160645,3.5
2925.5,37.76855469,3.5
2926,37.77160645,3.5
2926.5,37.77160645,3.5
2927,37.76855469,3.5
2927.5,37.76855469,3.5
2928,37.77770996,3.5
2928.5,37.77770996,3.5
2929,37.77770996,3.5
2929.5,37.77770996,3.5
2930,37.7746582,3.5
2930.5,37.77160645,3.5
2931,37.77160645,3.5
2931.5,37.76855469,3.5
2932,37.7746582,3.5
2932.5,37.7746582,3.5
2933,37.76855469,3.5
2933.5,37.76855469,3.5
2934,37.76855469,3.5
2934.5,37.77160645,3.5
2935,37.7746582,3.5
2935.5,37.8326416,3.5
2936,37.87536621,3.5
2936.5,37.8692627,3.5
2937,37.86621094,3.5
2937.5,37.86315918,3.5
2938,37.8692627,3.5
2938.5,37.86621094,3.5
2939,37.86315918,3.5
2939.5,37.86621094,3.5
2940,37.86621094,3.5
2940.5,37.86621094,3.5
2941,37.86315918,3.5
2941.5,37.86315918,3.5
2942,37.86621094,3.5
2942.5,37.8692627,3.5
2943,37.87536621,3.5
2943.5,37.82653809,3.5
2944,37.78686523,3.5
2944.5,37.77770996,3.5
2945,37.78381348,3.5
2945.5,37.78381348,3.5
2946,37.86621094,3.5
2946.5,37.87536621,3.5
2947,37.8692627,3.5
2947.5,37.81433105,3.5
2948,37.77160645,3.5
2948.5,37.77160645,3.5
2949,37.76855469,3.5
2949.5,37.77160645,3.5
2950,37.9699707,3.5
2950.5,37.97607422,3.5
2951,37.97912598,3.5
2951.5,37.94250488,3.5
2952,37.87841797,3.5
2952.5,37.87841797,3.5
2953,37.87536621,3.5
2953.5,37.79602051,3.5
2954,37.78381348,3.5
2954.5,37.77770996,3.5
2955,37.7746582,3.5
2955.5,37.82043457,3.5
2956,37.86315918,3.5
2956.5,37.86621094,3.5
2957,37.87536621,3.5
2957.5,37.95166016,3.5
2958,37.96386719,3.5
2958.5,37.96386719,3.5
2959,37.96386719,3.5
2959.5,37.9699707,3.5
2960,37.9699707,3.5
2960.5,37.96386719,3.5
2961,37.9699707,3.5
2961.5,37.97302246,3.5
2962,37.97607422,3.5
2962.5,37.97607422,3.5
2963,37.97912598,3.5
2963.5,38.07067871,3.5
2964,38.07373047,3.5
2964.5,38.08288574,3.5
2965,38.08288574,3.5
2965.5,38.07373047,3.5
2966,38.07373047,3.5
2966.5,38.08288574,3.5
2967,38.07373047,3.5
2967.5,38.07373047,3.5
2968,38.07067871,3.5
2968.5,38.06762695,3.5
2969,38.07373047,3.5
2969.5,38.07067871,3.5
2970,38.07067871,3.5
2970.5,38.07067871,3.5
2971,38.07067871,3.5
2971.5,38.07373047,3.5
2972,38.07983398,3.5
2972.5,38.08288574,3.5
2973,38.08288574,3.5
2973.5,38.08288574,3.5
2974,38.08288574,3.5
2974.5,38.07373047,3.5
2975,38.07373047,3.5
2975.5,38.07373047,3.5
2976,38.15612793,3.5
2976.5,38.1652832,3.5
2977,38.1652832,3.5
2977.5,38.11950684,3.5
2978,38.0859375,3.5
2978.5,38.07983398,3.5
2979,38.07067871,3.5
2979.5,38.07067871,3.5
2980,38.06762695,3.5
2980.5,38.07067871,3.5
2981,38.07983398,3.5
2981.5,38.07983398,3.5
2982,38.07067871,3.5
2982.5,38.06762695,3.5
2983,38.07983398,3.5
2983.5,38.08288574,3.5
2984,38.17749023,3.5
2984.5,38.17443848,3.5
2985,38.17443848,3.5
2985.5,38.07067871,3.5
2986,37.97912598,3.5
2986.5,37.9699707,3.5
2987,37.9699707,3.5
2987.5,38.05541992,3.5
2988,38.06762695,3.5
2988.5,38.06762695,3.5
2989,38.06762695,3.5
2989.5,38.06762695,3.5
2990,38.07067871,3.5
2990.5,38.06762695,3.5
2991,38.07067871,3.5
2991.5,38.15612793,3.5
2992,38.17443848,3.5
2992.5,38.17749023,3.5
2993,38.16833496,3.5
2993.5,38.13781738,3.5
2994,38.08288574,3.5
2994.5,38.0859375,3.5
2995,38.08288574,3.5
2995.5,38.07983398,3.5
2996,38.07373047,3.5
2996.5,38.07067871,3.5
2997,38.06762695,3.5
2997.5,38.08288574,3.5
2998,38.08288574,3.5
2998.5,38.07983398,3.5
2999,38.07373047,3.5
2999.5,38.07067871,3.5
3000,38.07067871,3.5
3000.5,38.06762695,3.5
3001,38.06762695,3.5
3001.5,38.07983398,3.5
3002,38.08288574,3.5
3002.5,38.08288574,3.5
3003,38.08288574,3.5
3003.5,38.15002441,3.5
3004,38.15002441,3.5
3004.5,38.1652832,3.5
3005,38.1652832,3.5
3005.5,38.15612793,3.5
3006,38.08288574,3.5
